Time,02_2,03_2,04_1,04_2,04_3,05_1,05_2,05_3,06_1,06_2,06_3,09_1,09_2,09_3,12_1,12_2,16_1,16_2,17_1,17_2,19_1,19_2,20_1,20_2
15-1.bmp,15.4182,15.8329,34.8119,34.8207,34.8294,36.0860,36.0864,36.0867,22.0839,22.0848,22.0858,11.1769,11.1754,11.1739,18.7586,18.7542,29.5251,29.5255,17.0874,17.0948,1.6275,1.6094,19.2640,0.0427
16-1.bmp,15.4299,15.8552,34.8497,34.8582,34.8666,36.0902,36.0943,36.0984,22.0945,22.0996,22.1046,11.1877,11.1887,11.1896,18.7822,18.7569,29.5302,29.5393,17.0749,17.1012,1.6005,1.6169,19.2835,0.0299
17-1.bmp,15.4249,15.8495,34.8347,34.8392,34.8437,36.0848,36.0881,36.0914,22.0939,22.0970,22.1001,11.1746,11.1783,11.1820,18.7623,18.7721,29.5394,29.5367,17.1098,17.1189,1.6341,1.6227,19.2949,0.0199
17-1.bmp,15.4251,15.8495,34.8348,34.8393,34.8437,36.0847,36.0881,36.0914,22.0939,22.0970,22.1001,11.1746,11.1783,11.1820,18.7618,18.7726,29.5394,29.5367,17.1099,17.1186,1.6341,1.6227,19.2949,0.0199
09-1.bmp,15.4296,15.8523,34.8529,34.8518,34.8508,36.0821,36.0822,36.0823,22.0899,22.0938,22.0977,11.1769,11.1809,11.1850,18.7546,18.7416,29.5326,29.5315,17.0883,17.1004,1.6069,1.6152,19.2732,0.0123
10-1.bmp,15.4358,15.8577,34.8518,34.8544,34.8569,36.0811,36.0815,36.0819,22.0994,22.1017,22.1040,11.1789,11.1811,11.1832,18.7634,18.7568,29.5404,29.5438,17.0824,17.1061,1.6121,1.6223,19.2738,0.0230
11-1.bmp,15.4409,15.8643,34.8582,34.8572,34.8562,36.0927,36.0934,36.0941,22.0976,22.1001,22.1026,11.1751,11.1798,11.1845,18.7441,18.7412,29.5191,29.5267,17.0622,17.0901,1.5798,1.6046,19.3169,0.0024
12-1.bmp,15.4414,15.8738,34.8626,34.8590,34.8555,36.0875,36.0851,36.0826,22.0968,22.0971,22.0974,11.1746,11.1725,11.1705,18.7555,18.7562,29.5086,29.5221,17.0523,17.0858,1.5734,1.5867,19.2640,0.0216
13-1.bmp,15.4445,15.8682,34.8410,34.8476,34.8542,36.0824,36.0823,36.0823,22.1032,22.1069,22.1105,11.1753,11.1756,11.1759,18.7538,18.7432,29.5284,29.5337,17.0924,17.1093,1.6100,1.6101,19.2992,0.0140
14-1.bmp,15.4379,15.8533,34.8537,34.8553,34.8568,36.0822,36.0823,36.0824,22.0930,22.0951,22.0973,11.1811,11.1853,11.1895,18.7528,18.7448,29.5207,29.5200,17.0714,17.0980,1.5947,1.6004,19.2824,0.0225
15-1.bmp,15.4181,15.8329,34.8115,34.8206,34.8296,36.0860,36.0863,36.0867,22.0839,22.0848,22.0858,11.1769,11.1754,11.1739,18.7588,18.7540,29.5251,29.5255,17.0874,17.0948,1.6275,1.6094,19.2640,0.0427
16-1.bmp,15.4300,15.8551,34.8498,34.8583,34.8669,36.0902,36.0943,36.0984,22.0945,22.0996,22.1046,11.1877,11.1887,11.1896,18.7819,18.7571,29.5302,29.5393,17.0749,17.1012,1.6005,1.6169,19.2835,0.0299
17-1.bmp,15.4250,15.8495,34.8348,34.8393,34.8437,36.0847,36.0881,36.0914,22.0939,22.0970,22.1001,11.1746,11.1783,11.1820,18.7618,18.7723,29.5394,29.5367,17.1098,17.1190,1.6341,1.6227,19.2949,0.0199
