Time,123_1,123_2,123_3,21_1,21_2,23_1,23_2,24_1,25_1,25_2,26_1,26_2,27_1,27_2,28_1,28_2,29_1,29_2,31_1,32_1,33_1
01.bmp,35.2280,35.2271,35.2261,17.4995,17.4977,18.5631,18.5608,12.0999,10.5128,0.0269,3.3429,3.3459,4.2305,4.2304,8.6972,0.0211,4.2228,4.2191,0.0256,0.0862,0.0198
04.bmp,35.2204,35.2200,35.2195,17.4767,17.4707,18.5370,18.5377,12.0947,10.5182,0.0184,3.3454,3.3538,4.2296,4.2287,8.6955,0.0173,4.2173,4.2169,0.0243,0.0797,0.0089
12.bmp,35.2600,35.2557,35.2504,17.4807,17.4798,18.5577,18.5514,12.1010,10.5278,0.0134,3.3548,3.3521,4.2326,4.2315,8.7015,0.0394,4.2205,4.2224,0.0123,0.0600,0.0109
